"Time","EventSeriesID","TaskType","ObjectType","ObjectName","ObjectID","Warning"
"2021-08-24T19:07:13.261Z","0215a4fe-38c0-4bd8-8b28-1b8ed7d72cb8","Backup","LinuxFileset","Rizzinisxs","Fileset:::5a707a29-e90d-44fd-8826-da2562944522","Found 1 errors while retrieving data for fileset 'Rizzinisxs' from 'am1-chricarl-l1'."
"2021-08-24T19:06:50.814Z","73204623-421f-4f70-973e-11fd46867668","Backup","LinuxFileset","Everything","Fileset:::6b761bfa-9f0f-42fd-a8a0-477c72c490b3","Encountered 41 errors while performing metadata scan for fileset 'Everything' on 'am1-jeffkong-l1.rubrikdemo.com'."
"2021-08-24T19:06:50.814Z","73204623-421f-4f70-973e-11fd46867668","Backup","LinuxFileset","Everything","Fileset:::6b761bfa-9f0f-42fd-a8a0-477c72c490b3","Found 4 errors while retrieving data for fileset 'Everything' from 'am1-jeffkong-l1.rubrikdemo.com'."
"2021-08-24T19:08:50.068Z","33b84e39-34ef-44a3-9358-0c1ccb969867","Backup","Mssql","ePO_AM1-IMRAAHME-W1_Events","MssqlDatabase:::f94311f4-29d8-41ef-b29f-ae7551f66e7d","Database 'am1-imraahme-w1\SQLEXPRESS\ePO_AM1-IMRAAHME-W1_Events' has auto close enabled. Disable auto close to prevent potential backup failures."
"2021-08-24T19:09:03.094Z","880d2748-9f51-4195-90af-20587f665b1a","Backup","LinuxFileset","FF-USR","Fileset:::6c055b4b-38bb-43ec-9a02-a69b9481ede0","Encountered 48 errors while performing metadata scan for fileset 'FF-USR' on 'am1-kenlim-l1'."
"2021-08-24T19:09:03.094Z","880d2748-9f51-4195-90af-20587f665b1a","Backup","LinuxFileset","FF-USR","Fileset:::6c055b4b-38bb-43ec-9a02-a69b9481ede0","Found 6 errors while retrieving data for fileset 'FF-USR' from 'am1-kenlim-l1'."
"2021-08-24T19:11:37.303Z","492feb6f-e40d-4802-aeb5-9e8025113150","Backup","LinuxFileset","/","Fileset:::abff630f-4421-41cf-bfb9-f8eb03d51f5b","Encountered 62 errors while performing metadata scan for fileset '/' on 'am1-aarolewi-l1'."
"2021-08-24T19:11:37.303Z","492feb6f-e40d-4802-aeb5-9e8025113150","Backup","LinuxFileset","/","Fileset:::abff630f-4421-41cf-bfb9-f8eb03d51f5b","Found 6 errors while retrieving data for fileset '/' from 'am1-aarolewi-l1'."
"2021-08-24T19:12:51.242Z","0c41a188-c21a-4146-bde6-230be4381a46","Backup","WindowsFileset","All wavs","Fileset:::aec6e99c-fdd3-41a7-90e3-42e5ecc86dc7","Encountered 1 errors while performing metadata scan for fileset 'All wavs' on 'am1-tarijali-w1'."
"2021-08-24T19:14:13.449Z","3ea45333-183a-43bc-a9d0-4de9cde444b2","Backup","LinuxFileset","/","Fileset:::8b3723b7-2b48-4149-a058-267c9793c7ec","Encountered 40 errors while performing metadata scan for fileset '/' on 'am1-krispent-l1'."
"2021-08-24T19:14:13.449Z","3ea45333-183a-43bc-a9d0-4de9cde444b2","Backup","LinuxFileset","/","Fileset:::8b3723b7-2b48-4149-a058-267c9793c7ec","Found 8 errors while retrieving data for fileset '/' from 'am1-krispent-l1'."
